Yang,M200c,R200c,M200m,R200m,fo_quenching,fo_quenching_err,fi_quenching,fi_quenching_err,fn_quenching,fn_quenching_err,ff_quenching,ff_quenching_err,qf1_quenching,qf1_quenching_err,qf2_quenching,qf2_quenching_err,qf3_quenching,qf3_quenching_err,qf4_quenching,qf4_quenching_err,fo_sf,fo_sf_err,fi_sf,fi_sf_err,fn_sf,fn_sf_err,ff_sf,ff_sf_err,qf1_sf,qf1_sf_err,qf2_sf,qf2_sf_err,qf3_sf,qf3_sf_err,qf4_sf,qf4_sf_err,fo_bt,fo_bt_err,fi_bt,fi_bt_err,fn_bt,fn_bt_err,ff_bt,ff_bt_err,qf1_bt,qf1_bt_err,qf2_bt,qf2_bt_err,qf3_bt,qf3_bt_err,qf4_bt,qf4_bt_err
229,14.036942481994629,974.9378051757812,14.182931900024414,1515.4647216796875,0.9110711879631709,0.19773713439437504,0.49214365881032557,0.14354312859237006,0.26727642276422764,0.10711685243554167,0.08890469416785206,0.08297828604510624,0.8248937645860448,0.5346463006527458,0.8786325228235232,0.332712849997405,0.3068923166010546,0.24852069052999637,0.44258702910797637,0.18639080316331696,0.0889288120368291,0.04663313273124958,0.5078563411896747,0.1465823113304635,0.7327235772357724,0.20738461756028753,0.9110953058321479,0.3519090217658047,-0.8512301675602864,0.4024543989722606,-2.4087226196036515,1.0,-0.8413283660431946,1.0,-4.535631874298538,1.0,0.8562766674152256,0.1889304918098689,0.8563411896745231,0.21119491785310618,0.8482384823848238,0.230451641160932,0.8733997155049786,0.34113719256556285,-0.0004491354143289645,1.0,0.05296589778961163,1.0,0.05339105339105434,1.0,-0.13474318717764308,1.0
230,14.043935775756836,980.1867065429688,14.195141792297363,1529.697265625,0.589856230031949,0.1368421363178862,0.3046502384737679,0.08887456378184655,0.2169735788630905,0.08394641065810177,0.09805389221556886,0.08977199262855422,0.41016191755380604,0.24044350611582,0.4762069849794522,0.2112845044805705,0.1119715213228385,0.1565890691673795,0.22905619800909033,0.14190031834841785,0.41014376996805113,0.10746513465039614,0.6953497615262322,0.1530597459447845,0.7830264211369097,0.1930301927294133,0.9019461077844311,0.3583324604328783,-0.9361751790742122,0.7733522370310878,-1.7185624771583197,1.0,-0.40408910647135154,1.0,-2.1069673175645307,1.0,0.8885782747603835,0.18305566581012764,0.8978537360890302,0.1840194997921551,0.8590872698158526,0.20645560478988437,0.8203592814371256,0.33433154629545475,-0.09080568366877419,1.0,0.2092855975893132,1.0,0.27510975213181127,1.0,0.43138579756226864,1.0
232,14.093954086303711,1018.4840698242188,14.204536437988281,1540.7906494140625,0.9036012296881862,0.1943479109698311,0.6478468899521532,0.1845337620321393,0.3733381243262666,0.1357323249936586,0.26838235294117646,0.1444248597427966,0.7262589266960723,0.8508839703811479,0.8461709989806319,0.42034044707369933,0.43804925156929037,0.3776626297993242,0.5186650958139983,0.33625920202717957,0.0963987703118138,0.04817519244417009,0.3521531100478469,0.12324233296682617,0.6266618756737332,0.1913853397185727,0.7316176470588236,0.27861724554368,-0.3947759010696522,0.21762018537058497,-1.4203293765372678,0.8997686642288553,-0.7352819006129367,0.7168265205390661,-1.4138952611915847,1.0,0.8847167325428195,0.1913500788142645,0.8593301435406699,0.2257561021576524,0.8444125044915559,0.23656459385797127,0.8848039215686275,0.31966605123233016,0.18046928916494057,1.0,0.25904541955350224,1.0,0.09587942141728488,1.0,-0.2211340730937596,1.0
233,14.086037635803223,1012.3198852539062,14.203935623168945,1540.0694580078125,0.8170823885109602,0.19341033575551292,0.42177963379376804,0.13879357844847592,0.3744943170872664,0.09957918475683011,0.19926350245499183,0.09888275292838916,0.6836541530192328,0.4432061061920404,0.7075684258578362,0.3655695244022354,0.07559534309314754,0.27335701774448573,0.2778893331589009,0.21557240351031454,0.18291761148904007,0.07383536636578804,0.578220366206232,0.17121465828310717,0.6255056829127336,0.1399536907383694,0.8007364975450083,0.2428953969304744,-0.9372258000263659,0.5832415713714394,-1.1818285384569922,0.6112304438122907,-0.12626444394210382,0.5923768318013206,-1.1166928644598968,1.0,0.90652557319224,0.20867517787220863,0.7796337937680694,0.21111596727493798,0.7990753226738586,0.16641520850672686,0.7270867430441901,0.22667288741491656,0.5758223168330076,1.0,0.5347787636058657,1.0,-0.09676028432401897,1.0,0.19254121734506924,1.0
235,14.117766380310059,1037.2989501953125,14.206985473632812,1543.6846923828125,0.7255777820936105,0.15593650887857113,0.4779556304408874,0.09959178107061199,0.35994764397905754,0.06535644918168718,0.37169784378123655,0.08532615559600373,0.4743316202449418,0.3657955182528333,0.5712503589356205,0.27052759633137746,0.1843723960262536,0.18706227468801698,0.16911892726762157,0.2099893458489837,0.27442221790638965,0.08241473058328087,0.5220443695591126,0.10562491559892785,0.6400523560209423,0.0957071304460704,0.6283021562187634,0.1208675465657031,-0.5180860646506148,0.302786118676426,-1.015787001889157,0.4427989004545582,-0.3278476423885015,0.40547195923543783,-0.2858714099030098,0.4417388640437962,0.8937657797630608,0.18130657052919208,0.8667509126649818,0.15072640887550914,0.8688481675392669,0.11903279830407026,0.8824789375981723,0.1540193090434593,0.20273960323763823,1.0,0.18999057623731103,1.0,-0.015991045149239103,1.0,-0.13383154144244594,1.0
236,14.122997283935547,1041.512939453125,14.208343505859375,1545.2989501953125,0.8538833832680341,0.19100540479513192,0.4780839073262367,0.14874217893866853,0.38505963590709347,0.08182864099491807,0.2898758357211079,0.09448798961138768,0.720038108073246,0.5072117301227558,0.7623889644201495,0.35281196155751937,0.1512736467646949,0.27680036294800586,0.265035441789603,0.2506420000426553,0.1461166167319659,0.062125422150668075,0.5219160926737633,0.15769874308340417,0.6149403640929064,0.11166108697761422,0.710124164278892,0.1702854825987276,-0.786053389756451,0.4392258066310245,-1.217535424757056,0.4845374212514237,-0.24158406320621947,0.506679832626599,-0.6492713376295545,0.8868608225898501,0.8174694630099102,0.18504378355562429,0.8469004383218535,0.2212944171609276,0.8971751412429378,0.14618386347875809,0.9159503342884431,0.20470325304356862,-0.19223422320316322,1.0,-0.7751596179805437,1.0,-0.4889352976391173,1.0,-0.8215368304206733,1.0
237,14.129173278808594,1046.39990234375,14.201662063598633,1537.351806640625,0.7781098244303324,0.16075354243930268,0.42959889349930835,0.09216574209950844,0.36388974914834316,0.07157805423868674,0.28992099593009335,0.0946213493731741,0.6109927329367855,0.33952967652894583,0.6511765448322996,0.28617268305023785,0.10329835789156117,0.1838202462252977,0.19670754489096798,0.18785901684154743,0.22189017556966753,0.07116163605324745,0.5704011065006914,0.1113079855235358,0.6361102508516568,0.10365203357936978,0.7100790040699065,0.1705018827745408,-0.8112472732232138,0.3724930197121715,-1.1383120196472711,0.47382736972677375,-0.18057432094405731,0.42112585357158744,-0.48177917270570714,0.7573211096550014,0.9213672020918939,0.18183704834983538,0.8899031811894882,0.15251831753110148,0.8675544544234541,0.12932734343635033,0.8565956428058414,0.1951256445349949,0.2857850139753686,1.0,0.4063009249136215,1.0,0.16873898377441304,1.0,0.23226308485557998,1.0
238,14.049093246459961,984.0558471679688,14.19337272644043,1527.613037109375,0.8451755598562344,0.20764336140612033,0.4056269384138237,0.1123874049636955,0.24681130834976994,0.06361115399784026,0.08086986068637445,0.0544985358788173,0.7395163910514506,0.4211303180509615,0.7944413639501855,0.296035737602244,0.21085769319782277,0.17238088432839752,0.3533308982446888,0.13749917939311054,0.15482444014376553,0.07030779109006358,0.5943730615861762,0.14489178030714409,0.7531886916502302,0.1317700204182134,0.9191301393136254,0.24481925830352572,-1.0836277865598258,0.5544972365591909,-2.4243793994175094,1.0,-0.6434698277235645,0.8646922620882657,-4.01579865441967,1.0,0.8954935029029583,0.21662975520100264,0.8243243243243243,0.18252371485994162,0.7857988165680475,0.13583833138608617,0.8406388039415563,0.2292946196138423,0.4051168626783777,1.0,0.5121105522265175,1.0,0.17985665223234226,1.0,-0.10237422923990137,1.0
239,14.095083236694336,1019.4067993164062,14.189238548278809,1522.78955078125,0.5691657866948258,0.15354964426754253,0.2845303867403315,0.09580449241959378,0.19409465914025179,0.07093558955999903,0.1346704871060172,0.06974885469499832,0.3978301729093704,0.2585097144342132,0.4654034519171249,0.21383989480317753,0.11221631501238337,0.1482465474720959,0.17318246679594598,0.13765727251419288,0.4308342133051743,0.12756888332845162,0.7154696132596684,0.17556440825589167,0.8059053408597481,0.17775733723118764,0.8653295128939829,0.22669114867947365,-1.0003690755682215,0.9812009312191196,-1.9324134379377698,1.0,-0.4659361983511933,1.0,-1.1127894674973566,1.0,0.7703273495248152,0.1897402446099998,0.8435459568056254,0.197619922397591,0.8250108554059922,0.18080089893439164,0.8000636739891756,0.21412739517154722,-0.4679879521543922,1.0,-0.3124965609040958,1.0,0.10592143554182454,1.0,0.21748065338609718,1.0
244,14.065844535827637,996.7672119140625,14.159025192260742,1487.8504638671875,0.842731505431971,0.20042168759086662,0.5549651278644969,0.16929252612325246,0.3762853470437018,0.12900100296037031,0.20682451253481887,0.13183957154656853,0.6466153454146749,0.6387685574850533,0.7478518520887653,0.4122603092817405,0.2864768046956797,0.3463528430885066,0.4389200382909725,0.2801890887946507,0.15726849456802897,0.06861308922178362,0.44503487213550313,0.14614393411067444,0.6237146529562981,0.18039646574500778,0.793175487465181,0.31471598461181416,-0.5185305582619177,0.32137005830108034,-1.2396075532914548,0.785023422098481,-0.47485181717704006,0.6576520512715105,-1.6832657360721115,1.0,0.8923952405587171,0.20900352719102863,0.7847891066091,0.21568232192709963,0.7982005141388175,0.21476092122960086,0.7541782729805012,0.30352651414491405,0.5000031933986069,1.0,0.46677386722727315,1.0,-0.06645907680331394,1.0,0.12452452433616926,1.0
245,14.092371940612793,1017.2853393554688,14.181890487670898,1514.2384033203125,0.8874471937235968,0.22481868651298595,0.35801006810778807,0.11998682727606395,0.14029238266222108,0.06405433164897974,0.08693826123477531,0.06299819673849749,0.824681352954145,0.42581779780880735,0.869080133749494,0.27951671726169175,0.25324619795711983,0.1593307488228837,0.2968822319064597,0.1498302800649421,0.11255280627640316,0.06146985314853331,0.6419899318922121,0.17667854522410636,0.859707617337779,0.2024981680907015,0.9130617387652247,0.2708537531361729,-1.4788330630310893,0.8975755114039657,-5.325697638625789,1.0,-1.5518852935141974,1.0,-3.1179805418581776,1.0,0.9405552202776101,0.23468152033494305,0.8747408942848683,0.2203661094938744,0.8002051808155937,0.19221401883554862,0.8206635867282653,0.25050576635331995,0.5254254819798795,1.0,0.7024708650351755,1.0,0.37306129244762753,1.0,0.30154114588354025,1.0
247,14.031551361083984,970.8836669921875,14.186447143554688,1519.5321044921875,0.7666181465308102,0.1812620516231822,0.5670297910182301,0.0993840836840074,0.4834881968859869,0.06710491953981601,0.49100640519434935,0.08014714489621416,0.46097480004908065,0.4890306595139698,0.5481577534876315,0.38092804552596554,0.16174188784956492,0.2331174720918528,0.14936020138506625,0.2519371546001401,0.23338185346918972,0.08356574830383207,0.4329702089817697,0.0830467919263696,0.516511803114013,0.07012653761401938,0.5089935948056507,0.08209270752546821,-0.3519891876477494,0.21407288381360565,-0.5855984726584528,0.241091559592248,-0.17278931454854843,0.226205821198379,-0.15483175987040232,0.23922892149000022,0.9420184376516253,0.21066984552184562,0.9476433970653623,0.1432360928715792,0.856353591160221,0.09990248426439578,0.8280249188382909,0.11524377686545774,-0.10743553054347708,1.0,0.5963591236516991,1.0,0.6355174949550219,1.0,0.6955570389560884,1.0
249,14.053478240966797,987.3291015625,14.166211128234863,1496.0892333984375,0.7527726432532347,0.17460274818534433,0.6214396685655101,0.13188582295672754,0.6845683992163191,0.11528371062078613,0.7312184343434344,0.1413487301798124,0.34692746117920126,0.5905201886288602,0.21622514633113513,0.6679987146782226,-0.20013445226783674,0.5601278038873627,-0.4084311567639037,0.7506387015964459,0.24722735674676527,0.08440679956704221,0.3785603314344899,0.09491364843903054,0.3154316007836811,0.06915155174164583,0.2687815656565657,0.07336443456041927,-0.21133664510166356,0.20692319907562945,-0.09963101439533985,0.15971223256626932,0.09221683431937175,0.17179603321993447,0.1501312885752057,0.164748067383319,0.9426987060998152,0.20570533234611235,0.9152425340928708,0.173951516118745,0.9122968768007378,0.14179501097224914,0.9199810606060606,0.166966878450995,0.3239380945748046,1.0,0.3466447737557101,1.0,0.03358668636509641,1.0,-0.05921756210566101,1.0
250,14.003793716430664,950.4464111328125,14.1329345703125,1458.3675537109375,0.7236363636363637,0.19441332915412113,0.3995037220843672,0.1316891253929789,0.23606129768503423,0.09753836821713133,0.2539473684210526,0.1447403674453482,0.5397746055597297,0.40856059586251886,0.6382384666123464,0.29615271811146854,0.21394704038956644,0.2162484865211164,0.1951019908009155,0.26500812743353713,0.27636363636363637,0.10338812768871739,0.6004962779156326,0.17265730910274948,0.7639387023149657,0.20961101673422675,0.7460526315789473,0.2927464164751337,-0.8113382269904004,0.6137614463484722,-2.065459568056253,1.0,-0.692372811647451,1.0,-0.5731752786741923,1.0,0.8903030303030304,0.22582793542116827,0.9069478908188585,0.23161306660566688,0.824584284316922,0.22148412108887755,0.8282894736842105,0.3156397862586586,-0.17887676767676633,1.0,0.3746457136419969,1.0,0.46953379394319555,1.0,0.45808733350446357,1.0
251,14.091415405273438,1016.553955078125,14.178288459777832,1510.0164794921875,0.816267666570522,0.2067898865213374,0.46458923512747874,0.1552244501962728,0.2775647171620326,0.09219373692642532,0.24195804195804194,0.1025039141354314,0.6568385518486468,0.5191200042813625,0.7456764117226999,0.3275276343134055,0.25888065326869314,0.25207758189635937,0.2936924411737035,0.24858200247849022,0.1837323334294779,0.07920317656118826,0.5354107648725211,0.17061746371740028,0.7224352828379672,0.17270255967726098,0.758041958041958,0.21586300313781445,-0.7569663798743551,0.49113177880039854,-1.9408192615994955,1.0,-0.6738050854506393,0.9699263512609058,-0.9201231393996951,1.0,0.9365445630227862,0.2287183681640384,0.8222379603399432,0.23033978199700095,0.8374880153403642,0.19205667348283276,0.7916083916083916,0.2226864097264082,0.643031565689937,1.0,0.6095338007832807,1.0,-0.09383957147751665,1.0,0.14698081639637198,1.0
252,14.055746078491211,989.1079711914062,14.18673324584961,1519.864013671875,0.808728130528799,0.16957313439585056,0.3803812379524524,0.10604669072167956,0.4067530987320132,0.06384424464941271,0.3602362204724411,0.08300513786726499,0.6913071695260845,0.3437841143305317,0.677584713780413,0.3140112697952435,-0.04445343199129142,0.20870661183039718,0.03148821193798689,0.2105377284695418,0.19127186947120112,0.06692680708275286,0.6196187620475477,0.14660768497528617,0.593246901267987,0.08205530407637032,0.6397637795275591,0.12145197760544747,-1.1260988972066233,0.6065355229503976,-0.9882531517273696,0.32789421951092107,0.06483505807766624,0.4132551173747435,-0.05592168786800982,0.5288216735820569,0.8462748181639473,0.1752560457904859,0.8509316770186335,0.18366677382990315,0.82034477845847,0.10313888082044381,0.828037120359955,0.14588865855142163,-0.031239761483519517,1.0,0.1443322352837,1.0,0.17025332354780948,1.0,0.13313662056951855,1.0
253,14.059552192687988,991.9426879882812,14.170961380004883,1501.6060791015625,0.7091851425280737,0.18681939844960796,0.4370958802881952,0.10772393461975019,0.2857664233576643,0.08188349079369292,0.36907216494845363,0.12199693306231128,0.4833669762075691,0.39411611665006263,0.5928294790633224,0.2935637765596025,0.21187670515567433,0.19100158583136836,0.10781536581625704,0.25879513639113727,0.29081485747192626,0.10396516886239338,0.562904119711805,0.1274865480761656,0.7142335766423357,0.14947372099482528,0.6309278350515463,0.17409540889002967,-0.6224933121320642,0.4178622322052002,-1.4816951347725689,1.0,-0.5295564648654584,0.7411767430146009,-0.18431006670265088,0.5910905947984881,0.8635185718399078,0.2152535414680889,0.8215407352669499,0.16627041358775305,0.8067518248175183,0.16309060564152933,0.8132547864506626,0.20841205398777896,0.23522363288759915,1.0,0.29375049450679364,1.0,0.07652807295834319,1.0,0.044370341058825515,1.0
254,14.053418159484863,987.2974243164062,14.162262916564941,1491.578857421875,0.8087180957843418,0.20481324645843907,0.39946380697050937,0.12242359426720988,0.2763452914798207,0.09942547706029706,0.2047713717693837,0.11073193920379981,0.6814814719980336,0.4209196911936093,0.7356724112155428,0.3304501498645467,0.17013433898945673,0.21918769989224654,0.24482573726541554,0.2103600652082498,0.19128190421565816,0.08083849391429032,0.6005361930294906,0.1605269369033351,0.7236547085201794,0.18697278666551007,0.7952286282306162,0.2663740324464942,-1.0245090585742247,0.609870469468121,-1.9264768415400937,1.0,-0.4455242021001805,0.9413163971574762,-0.9507795621957882,1.0,0.9406366504158302,0.22880055975004454,0.8836461126005362,0.2112440184073836,0.8996636771300449,0.21885981281905895,0.84493041749503,0.27834695073960936,0.4898034701637023,1.0,0.4083563371052572,1.0,-0.15963874369074657,1.0,0.24966659792396972,1.0
255,14.081520080566406,1008.8623046875,14.183295249938965,1515.8514404296875,0.7927569604354198,0.1724857076272165,0.617680958967266,0.10731706051067988,0.5801277694712519,0.07893008165798218,0.6197501487209995,0.10928573353259131,0.4579316818624365,0.5466788202052423,0.5064140362328855,0.4616951937311546,0.08943956462355979,0.31772628268186637,-0.005441658285397372,0.4028109004334672,0.20724303956458032,0.07237018655225384,0.38231904103273395,0.0780472009184795,0.4198722305287482,0.06365284655828994,0.38024985127900063,0.0790213630147918,-0.28344082641121493,0.1759993731258104,-0.36652131160341694,0.17093410289975955,-0.06473261835102555,0.17374959600439663,0.0033387482972026487,0.17921205242037247,0.9156374293489637,0.19161998433972613,0.8784001844167819,0.13790515345929563,0.9090661954601063,0.10860326216202812,0.8931588340273647,0.14183682908520318,0.3062278076129001,1.0,0.07226392783307134,1.0,-0.3372344443135093,1.0,-0.13813635854894063,1.0
