HaloID,M200c,R200c,fo_quenching,fo_quenching_err,fi_quenching,fi_quenching_err,fn_quenching,fn_quenching_err,qf1_quenching,qf1_quenching_err,qf2_quenching,qf2_quenching_err,qf3_quenching,qf3_quenching_err,fo_sf,fo_sf_err,fi_sf,fi_sf_err,fn_sf,fn_sf_err,qf1_sf,qf1_sf_err,qf2_sf,qf2_sf_err,qf3_sf,qf3_sf_err,fo_bulge,fo_bulge_err,fi_bulge,fi_bulge_err,fn_bulge,fn_bulge_err,qf1_bulge,qf1_bulge_err,qf2_bulge,qf2_bulge_err,qf3_bulge,qf3_bulge_err
12,14.816362380981445,1831.341552734375,0.9279279279279279,0.17118262524410283,0.7164539496378062,0.20596152644509402,0.5027056277056278,0.1429643779552961,0.7458188115122419,1.0,0.8550716113284121,0.5114367237003401,0.42982252331954923,0.5190839441999348,0.07207207207207206,0.03557563125778144,0.28354605036219394,0.11204523672667499,0.49729437229437234,0.14193659329731573,-0.2951675797125967,0.17045191471070673,-0.8458673959212174,0.3765172644342269,-0.4251958007865078,0.3792213600105185,0.6248185377272335,0.1289545133119548,0.6200457581476915,0.18614500764161246,0.6243751342563247,0.16565325597656175,0.012561458864821018,0.59602242891821,0.0011804422745839778,0.5588801677864615,-0.01152579742041788,0.6633956498491291
13,14.743413925170898,1731.59033203125,0.8565222496184103,0.13663944121332766,0.7399833748960931,0.1463072038898287,0.7163461538461539,0.11335829918521212,0.4481977822600625,0.8101654788482637,0.49418013424795487,0.6563219560971173,0.08333121997266722,0.6533470465719569,0.14347775038158977,0.04388971888069451,0.26001662510390694,0.07380246519199823,0.2836538461538461,0.06168899733617057,-0.15748850403386605,0.11709709938174646,-0.19568206658140475,0.10702261896525954,-0.03299692602944525,0.13430741593410048,0.6168335621090596,0.10821147792618041,0.6255435445343659,0.13002002835118215,0.6205787689324102,0.10252338641894544,-0.023260334541370078,0.45181894028435177,-0.009870841472978582,0.3928872348582205,0.013085128599646861,0.4364119870699729
14,14.640763282775879,1600.448486328125,0.9420373027259682,0.22911917471216978,0.8014232463571671,0.22118426904085117,0.7097505668934242,0.2622828816862774,0.7081093521234336,1.0,0.8003003945480622,1.0,0.3158410284649269,1.0,0.05796269727403156,0.04194768305386279,0.19857675364283292,0.08980747612973845,0.290249433106576,0.1457045797148992,-0.17545542509274115,0.12523436801202503,-0.3272793945755659,0.22394435986418634,-0.12916182633709494,0.24260629095810332,0.6591545062812979,0.17714774518254095,0.6532627185224571,0.19130673452656916,0.630786915052304,0.24148526712992702,0.01699208038355229,0.7520080390110336,0.07683257280280995,0.8127226484417827,0.06087488333014281,0.8353731805852889
15,14.696632385253906,1670.5953369140625,0.8658026755852843,0.15003794225881084,0.7663526244952894,0.19088579568509476,0.7380994829737921,0.15123490612312698,0.42564163571351527,1.0,0.4876019110672974,0.8607690516030638,0.10787737971006005,0.9319609195844865,0.1341973244147157,0.04605481080130859,0.23364737550471068,0.08808390151741469,0.26190051702620787,0.07676053703718365,-0.12977061461163727,0.13055659281041385,-0.1730162336613187,0.1226073759559945,-0.03827822966040525,0.15834482883635653,0.6435268209174162,0.12140330362075337,0.615713281051626,0.16364094960435202,0.6057403680028788,0.13168557241200027,0.07237705206649804,0.5311176097416866,0.09584154665576648,0.45541718551171445,0.02529529335334051,0.5328283678199991
16,14.578873634338379,1526.2227783203125,0.8979289940828402,0.18977482732752596,0.7581462708182475,0.17936864634167315,0.5402061855670102,0.18523085125466865,0.5779638946958157,1.0,0.7780070050680606,0.6564159891223995,0.4739952526764577,0.5924011522012437,0.10207100591715978,0.04875661838447712,0.2418537291817523,0.08514401622380044,0.45979381443298956,0.16636862762704335,-0.18437434654097637,0.13106142014442107,-0.6621968020235779,0.38024198360309597,-0.4034387074307254,0.3675959097249076,0.6182260041603105,0.1454021565651051,0.6067527002042215,0.15339913266585178,0.6104723202955765,0.20135097505644886,0.02917579844044029,0.5375941650224496,0.01990534760101648,0.6376824879159928,-0.009549052057552226,0.6498505023438782
17,14.619783401489258,1574.8843994140625,0.9357453538948203,0.18924025978176073,0.8305369127516777,0.25253151219688086,0.676954732510288,0.2790369414653421,0.6208339695179496,1.0,0.8010970827572144,1.0,0.47541999743512986,1.0,0.06425464610517992,0.036769317595911205,0.16946308724832215,0.09117539287910478,0.32304526748971196,0.17121438213447707,-0.12667521398245005,0.11918376067434631,-0.38228644982639076,0.2761637433853751,-0.22687215683074605,0.29223313278520047,0.6591762978214779,0.1470474984705347,0.6375859302843779,0.2092754448561742,0.6319449364336726,0.265958324027193,0.05957375648810058,0.7065824037348147,0.07398719399196085,0.8274278177124204,0.015326494345835323,0.9195564888012722
18,14.609760284423828,1562.824951171875,0.9529816513761469,0.2066084602803343,0.8239556692242115,0.25310169187996295,0.7047913446676971,0.30471844106406604,0.7329175644756429,1.0,0.840728421153754,1.0,0.4036613507228524,1.0,0.047018348623853214,0.033602182495431544,0.17604433077578857,0.09394178722673567,0.2952086553323029,0.17189657612239848,-0.1565933544378895,0.12239644135613253,-0.35214721149203276,0.2629364440778603,-0.1690774517282122,0.28098507984246723,0.6578185585110204,0.1581533181896625,0.5795238881111274,0.1975307683265574,0.5390039123466742,0.2531912287396288,0.18620480019227698,0.6081259324567002,0.25773460848478214,0.6628600858071464,0.08789657190089796,0.6982701023921386
19,14.669662475585938,1636.29541015625,0.9156985403634196,0.1616401233843165,0.7619477006311992,0.17396557365829363,0.6686792452830187,0.20519766114987453,0.6458700047842134,1.0,0.7455593758121435,0.9136727771993913,0.28150501898938296,0.8304601628809362,0.08430145963658028,0.03689791824436248,0.23805229936880073,0.0815098135322209,0.33132075471698114,0.12901574503078306,-0.20178660504500887,0.11939347638918382,-0.36941373135613,0.2129584356190786,-0.1394816064744233,0.22980283608564392,0.6316228870655239,0.12389339407905862,0.6176680088480463,0.15008126344431108,0.6155722282120913,0.19372235961799403,0.036499373686810936,0.5092155851294871,0.04175207940566753,0.5985369140744484,0.005451688951107318,0.6374640332162212
20,14.634766578674316,1593.1234130859375,0.8319057815845823,0.1526743839018696,0.6724982505248426,0.14027565347792836,0.7329880154377413,0.11358377491717617,0.4867379527443762,0.6665169230845324,0.37046189634149745,0.7298848964495124,-0.22654325801917108,0.6828164884036645,0.16809421841541755,0.054801550954703154,0.3275017494751575,0.08721240109273819,0.2670119845622588,0.05861730077588068,-0.23703783754877042,0.15621614622714117,-0.13495140993235397,0.11000667862551439,0.08252490305284753,0.1435114365305147,0.6260495577196414,0.1247810922055881,0.6211191074029655,0.13272379523357314,0.6019793140437828,0.09896675191393801,0.013013193362378942,0.48083247300174875,0.06047485601918287,0.4004202154051386,0.04808743373023608,0.4161294141201551
21,14.582229614257812,1530.158203125,0.9589816124469589,0.2305290202335799,0.8232189973614776,0.237852914077271,0.6558073654390935,0.2773164815321319,0.7679706136924987,1.0,0.8808272361627695,1.0,0.486389350358861,1.0,0.041018387553041026,0.03475550787580352,0.17678100263852242,0.08855171061443558,0.34419263456090643,0.18101482985810408,-0.1649167664019149,0.11690995306593314,-0.4622916163878033,0.3086692891851248,-0.2552756201667453,0.31525086676451025,0.6477715310911724,0.17376596198696156,0.6260930863910593,0.1958950759131609,0.5724812827287822,0.2524968807160669,0.057978186310793794,0.7009872012871666,0.17610982939637249,0.7244600234661985,0.12540223736745967,0.7511763208085284
