Yang,z,N200,logM200,smasso,smasso_err,smassi,smassi_err,sfro,sfro_err,sfri,sfri_err,smasso_quenching,smasso_quenching_err,smassi_quenching,smassi_quenching_err,sfro_quenching,sfro_quenching_err,sfri_quenching,sfri_quenching_err,smasso_sf,smasso_sf_err,smassi_sf,smassi_sf_err,sfro_sf,sfro_sf_err,sfri_sf,sfri_sf_err,smasso_elliptical,smasso_elliptical_err,smassi_elliptical,smassi_elliptical_err,sfro_elliptical,sfro_elliptical_err,sfri_elliptical,sfri_elliptical_err,smasso_spiral,smasso_spiral_err,smassi_spiral,smassi_spiral_err,sfro_spiral,sfro_spiral_err,sfri_spiral,sfri_spiral_err
396,0.034,20,13.73,11.9810682231222,0.002774358220285723,11.899056223789614,0.0018245597559564766,1.434232513636889,0.02761850041090222,1.013848955135008,0.01068420773381707,11.496299678183284,0.007106893201837921,11.543964513593435,0.00664178278602811,0.5079735890464036,0.031834852049793694,0.6860475536164481,0.03216504730478339,11.80875069827573,0.007674793679484223,11.646097122168884,0.004158184176046126,1.379451775252445,0.06447848932847204,0.7380354692262487,0.02792907531888903,11.76594218451434,0.005262167399327371,11.667000900006581,0.005858882643937005,0.7684047657838726,0.029841641519357108,0.6026612486491822,0.032973261474912245,11.57284490506149,0.013047689874818642,11.515989944412759,0.004455743464404046,1.3286261001202766,0.09194306654232197,0.8006126965149583,0.026421096007573544
397,0.052,21,13.82,11.994853923793196,0.0030765183243837042,12.0494074710246,0.0029882119326669065,1.1827425317104747,0.008197547574822555,1.0001147843832634,0.007846997865635015,11.864136008866385,0.0049246498760400865,11.74930370095417,0.008969459413599633,1.161056662922583,0.011036488055773832,0.840051399551354,0.015800469722105276,11.409683892273906,0.020741406802914027,11.747449270170813,0.007733769455877689,-0.12966277035208018,0.0743206783131935,0.48904603797229584,0.03655292809212767,11.954247888996731,0.004137186234803216,11.761725821645266,0.009411358251701763,1.1507889304150354,0.010791659192429626,0.8614478292952084,0.01640695849397182,10.945515358415701,0.021190264345903237,11.734605812968375,0.007361233631972855,0.033599186216209886,0.07776059042511373,0.4368132147508982,0.03764739913438795
408,0.07,24,14.32,12.11992483632516,0.002066403245922862,12.359014083970672,0.0005118917500884646,1.4965478428643655,0.0080301620268097,1.8274595888925655,0.002029812986108814,12.024754804610318,0.002823984063221757,12.170840556342243,0.0008236650489519088,1.4441153048593105,0.010077602647943659,1.7001381085765805,0.0036175978958801515,11.413924345912543,0.025459791443445307,11.905093439390434,0.00331118511869711,0.5524118691889846,0.1592181764042886,1.2324703815603737,0.009788376317363399,11.938137090688357,0.004203053594235779,12.134715569266696,0.0009073259855838855,1.233487133452429,0.01661453131169524,1.5459631338013395,0.003297199280720578,11.653977182775893,0.008641569340516736,11.964723006293262,0.002686913769132301,1.1539081922879004,0.033994810669778476,1.505975932892736,0.010444750752356024
409,0.082,50,14.84,12.42703586319074,0.0010420459664952852,12.491509072514775,0.00032181064157298746,1.5548844735055118,0.003961292776182117,1.940552123912539,0.0014432271386535835,12.349915144747206,0.0014626853896589315,12.28639180601844,0.000578715409247541,1.4898143259686063,0.005495183610441193,1.8569799710555726,0.0025848692482424154,11.638432728986071,0.009410450335854258,12.067197407697904,0.0016923809454387547,0.6983530301955918,0.03142293993540226,1.1837132009632736,0.005258380885321877,12.369682424944218,0.0013684059135540359,12.349420061417076,0.0005621474380526008,1.4734396973572241,0.005501279643101151,1.8004028067724847,0.0027021557161859395,11.519449835282519,0.01237190768326338,11.937176003784849,0.0018655275033594156,0.7878772227890369,0.03372006997560239,1.3811669652283183,0.006421911754221419
412,0.062,29,14.29,11.788604679201182,0.0021172091229218295,12.004328694608311,0.0014165160899575447,1.2144549034404972,0.012024846292539325,1.1085607133477793,0.005695826676950194,11.682340703280376,0.003674662813376606,11.75680018228935,0.00332878019743639,1.168843226917648,0.018984490988967494,0.8650091805018381,0.017751805201773132,11.125157270588337,0.010196875665985858,11.642267870073344,0.004931524945862029,0.21314036934142835,0.04854458364263859,0.7412676305633953,0.008630387398511097,11.674827156939203,0.003754884968757254,11.687391531212114,0.004185170261017734,1.1687485863343856,0.019091700532950874,0.8626461861606585,0.02046189207111285,11.151229357038677,0.009579671030129152,11.718643753428264,0.003831753300196792,0.2139940708043546,0.047853623778044585,0.7443898342556817,0.007486948760778729
413,0.092,174,15.71,12.737850533249715,0.00012351936052401173,13.009631432807263,7.45179015902639e-05,2.0395338642331207,0.00044121402389129925,2.363076170490283,0.00017315736529140602,12.642833900968945,0.00019324065230969436,12.872162024554175,0.0001407016493828374,1.8639694229284585,0.0007370662160347762,2.1778746543407737,0.0003192298537244615,12.031223365168277,0.0008399133669554694,12.44313004752364,0.0002885748207172167,1.5613570529694296,0.0029093192884931357,1.9036214058808927,0.0008962181869323171,12.590756531831321,0.00023020521032549157,12.834380446450226,0.0001794996569281402,1.8611772246346023,0.0008588539627740171,2.0888818507346345,0.0004079618233693986,12.19618804508861,0.0005978678295992452,12.5308247396289,0.00018194204796591663,1.566908225602004,0.001998783932266271,2.0334424334003964,0.0006063198639574166
414,0.063,25,14.24,11.753237385640329,0.003134345918681818,11.88671266500784,0.0008967078871536234,0.23128068706123725,0.012486695059391711,0.9612716466693811,0.00509893980794142,11.600956099690832,0.00687227771096763,11.510742124681494,0.0022529523013206446,-0.10869326964613422,0.0344550810529377,0.6062774187630319,0.012711285894539945,11.224181525399235,0.010915635848438694,11.649574832224442,0.002752794910612302,-0.03401195120695546,0.03741629465746547,0.7082354759305222,0.015907757986714725,11.604748827334236,0.006152654199577827,11.546449573995798,0.0035329551072240304,-0.04598044616369631,0.03229949279050673,0.576707608242383,0.017467158578164214,11.215015118805361,0.013137657297851515,11.621663332329083,0.001880777176070857,-0.09489473961602027,0.03491077369287429,0.7302710857833924,0.01200750770449572
416,0.062,26,14.29,11.87644404189862,0.001946747452987266,12.076525130560809,0.0008340012007135883,1.1050474954026341,0.009051781628402564,1.2962708174440343,0.0030320673733251796,11.594121187041134,0.003981455791100958,11.682301740135943,0.0022823200040447806,0.9624697639681202,0.016146669754276477,1.0873870415326818,0.008405929352849876,11.555864684844046,0.00869253675082675,11.852180846896042,0.002306686181900277,0.5519745988689726,0.04955100124590284,0.8781274282845843,0.008442160774099197,11.468644412492274,0.00526457530781344,11.656810708997513,0.0027359887667998462,0.9608272986012917,0.018869388572058467,1.0416343455309278,0.009789630082070327,11.661046173328703,0.006006584899946819,11.868608866747586,0.002001059502959907,0.5561728613690535,0.03801861031669792,0.9432919457037114,0.007546508557485332
418,0.079,34,14.5,11.939632486106962,0.0014812312129109289,12.225333783877122,0.0009155688604173642,1.247853553397213,0.005610120175537186,1.21426994047533,0.0053391254908293165,11.88162802604985,0.0019073886917778762,12.077204772235305,0.0017420016841147657,1.1564866851285671,0.007804851916860081,1.0159186820716164,0.0083128262611617,11.036630080577563,0.018026546493513644,11.68622821276081,0.003984864024766228,0.525975158563763,0.04444478879136487,0.7785130501923763,0.03339833590283189,11.856534911634341,0.0025594430650807665,12.056718602326686,0.002050420130023663,1.0424716819137245,0.012299098372368691,1.0447745977103469,0.012084068126244758,11.180550025724004,0.0059498612736385076,11.732862845520096,0.0030427037905833964,0.8239798553157539,0.016845511195583723,0.7236484960141633,0.01700550948409668
420,0.05,45,14.71,12.433783094310723,0.0012375326234318137,12.579791969218071,0.000294797060391446,1.2959745511500926,0.004800918838958909,2.0232869622822847,0.0026197862063576842,12.273792904731758,0.0025663355688408454,12.267350348198327,0.0009033992264615358,0.6208466423194614,0.011132407536311006,1.7690102210802245,0.008900291813783203,11.922550059455403,0.005137284266977658,12.289881405679289,0.0007730474637081088,1.1928937339710568,0.014461342060981935,1.6698565200454631,0.005167510149474872,12.208176746987851,0.003351455529497813,12.230535125293844,0.00104938212028827,0.5121908585805324,0.014979390581688208,1.721057401820825,0.010199608902807052,12.0414192176624,0.0035878612551657604,12.322164650815346,0.0006777510684070129,1.2179110805175006,0.011213669505717644,1.7234532272222483,0.004715647652819149
423,0.036,24,13.99,11.677864535966958,0.00405351137200425,12.102177989783572,0.002020819916773434,0.6937619069658116,0.011463818864831178,1.1420484867324976,0.006513092023067585,11.611094060019814,0.006185266607145099,11.85148929364457,0.006956021244310107,0.2736487862073111,0.024422167325788228,0.8573317796262536,0.021843569397046503,10.831707108035964,0.01648897914705735,11.744196826430873,0.004096151932765462,0.48609028206747323,0.06005267660660994,0.8240684342286482,0.015253862977030906,11.4841266693088,0.013622459282657168,11.45542178761733,0.014037796797641593,0.33522112041339347,0.04484258343377681,0.31263230695064004,0.03960013540489296,11.23402093726508,0.007964323068847359,11.991171092432747,0.003185329976771162,0.44350983234205477,0.02432333464049944,1.0724321046564875,0.009843665523640716
424,0.035,21,13.68,11.791220197814738,0.0033548402876631346,11.980542127025558,0.0017278334348368252,1.232596461159944,0.011654574711589955,1.253103625898322,0.01131641863289866,11.557086165682113,0.008606162238598983,11.688866441761661,0.004311453977339472,0.7569324831611406,0.0539764106074966,1.0226774415465327,0.036592066225978014,11.41108010265051,0.010636137950559319,11.669951893956862,0.005488684654974386,1.0557747259208194,0.021977483341084132,0.8677202610028263,0.01217925039926383,11.312029266955298,0.021909773097432306,11.282464829388331,0.013093499824194514,-0.9979145124746326,0.19505169083362142,-0.3611275900329545,0.10303716577156827,11.616160089819237,0.005521906015836951,11.88340865033093,0.002658014817907109,1.2300346115420728,0.016395955878119692,1.2424158827569023,0.015355319188472617
427,0.059,38,14.35,12.048457208005571,0.001707140107633002,12.160360994859992,0.0009296733489932137,0.9339228256701435,0.006451585320364156,1.3029778454486698,0.002952707164349617,11.923789873958297,0.003204518418940317,11.9588680812807,0.002297098607049964,0.5042771478295296,0.012307898340591119,0.5340512508792569,0.012118455880001395,11.44558198986669,0.006160318737155684,11.729978188621576,0.0029705052690168154,0.7319941597545259,0.028091794930099664,1.2219279205824287,0.0071482182074528895,11.881592216369162,0.004011804102829448,11.915876547667576,0.00277610524543613,0.28320165128317476,0.018068788043944826,0.4211949734772751,0.01738783278223174,11.5522737285454,0.004154560414230153,11.794305277904082,0.0023723316483910974,0.8240639120888962,0.018948800571882217,1.2418548607353102,0.006116030383789761
432,0.078,66,15.11,12.294508374712443,0.00045305794310451124,12.594335821585135,0.00016270715654495766,1.4642229426368354,0.0018755844637102475,1.903122756456167,0.0006446912420199442,12.202642224251912,0.0007364494251098275,12.325136663667132,0.00046698294621974265,1.408845002530153,0.002808379515599406,1.7334659523866405,0.0016270669593504614,11.57475588852217,0.002933935345800465,12.258956175509727,0.0004525188899518251,0.5423806426483017,0.019093949741076092,1.4128393338717806,0.0021578280257046876,12.207027662787068,0.0007418999110010562,12.34758508024787,0.00040631426183212186,1.4121705779463927,0.002861530995064917,1.7384564420409632,0.001610320919348867,11.555629992880553,0.002717125047068815,12.231260431350586,0.0005304106707476604,0.5171128291065569,0.01633158007073712,1.4022083846433515,0.0020421452176711675
434,0.056,47,14.33,12.080356127047189,0.0011624632733499435,12.288514532759317,0.0007597161237636334,1.7425770407969972,0.005740023947946609,1.6958367501743075,0.0039045873159960277,11.897478376436851,0.0020335349824395126,12.039176194761996,0.001699785917853161,1.7197502281458958,0.008419124426807917,1.5880805164208665,0.008452231257789933,11.61649776210417,0.006780957998662989,11.928798431369351,0.00280929006910763,0.451874587789229,0.03429212095358606,1.0377301651861262,0.01197819779355049,11.689047343992303,0.003211018196863037,11.966135836585051,0.002346021070974738,1.7065070745458168,0.011379399094663744,1.5644576585882828,0.010737804612218394,11.854029632760536,0.0034034788164269405,12.007832782831793,0.001978031089725038,0.6440282985422731,0.017421893592960862,1.1125438738009035,0.008800948405782369
