Yang,RA,DEC,z,logM200,R200,thetaR200,N200
93,186.5582,31.1117,0.06,13.92,0.7,0.16773570268503354,26
94,179.2471,5.0477,0.075,14.59,1.16,0.22636451844488045,53
95,187.4236,11.7516,0.086,14.88,1.45,0.2499360806738518,74
96,231.0865,20.7606,0.04,14.16,0.84,0.294855740873954,47
97,140.0518,54.8904,0.045,14.12,0.82,0.2574811913750114,34
98,155.392,23.9116,0.039,14.16,0.84,0.3020897378046087,51
99,158.3152,56.7684,0.045,14.07,0.78,0.24492111248395182,47
100,183.6602,59.9266,0.06,14.22,0.88,0.21086773239310977,47
101,51.3858,-0.58,0.037,13.81,0.64,0.24207619872842526,22
102,165.2002,10.4066,0.036,14.65,1.23,0.4776365732377789,65
103,157.94,40.1824,0.067,14.14,0.82,0.1774709364701828,38
104,236.2194,36.1064,0.066,14.7,1.27,0.27869561527364994,67
105,7.3223,-0.2126,0.06,14.2,0.87,0.2084715243194741,33
106,172.3877,54.1117,0.069,14.41,1.02,0.21486427128472377,51
107,212.5518,54.9166,0.042,13.91,0.69,0.2312660487030869,33
108,252.6651,23.5084,0.036,13.93,0.71,0.27570889498261564,37
110,18.2482,15.4844,0.043,14.25,0.9,0.29500981121400316,52
111,184.6299,5.214,0.077,14.6,1.17,0.2228865016584509,42
112,238.8791,41.6157,0.034,14.2,0.87,0.35691568479863217,38
114,176.4182,15.5056,0.068,14.27,0.91,0.19428302606126024,37
115,246.7696,14.1874,0.051,13.89,0.69,0.1925492869732231,27
116,168.7743,25.8728,0.048,13.97,0.73,0.21567840510023895,43
118,152.5112,54.435,0.046,14.32,0.95,0.2921743760227481,60
119,238.1031,27.7115,0.082,13.99,0.73,0.1313405582349236,20
120,170.5107,34.3465,0.035,13.59,0.54,0.21544573962880703,34
121,194.6833,-1.7481,0.084,14.7,1.26,0.22183094559998684,48
122,216.0279,26.2658,0.038,13.82,0.65,0.2396508554006085,32
125,24.3436,-9.193,0.041,14.18,0.86,0.29489639417437824,54
126,199.8197,-0.9386,0.083,14.62,1.19,0.21177800978246444,37
127,17.4503,14.1071,0.06,14.54,1.12,0.2683771324212718,51
128,240.3577,53.9616,0.065,13.98,0.73,0.16246444858986894,24
129,175.3044,5.7204,0.097,14.27,0.9,0.13928188475707853,23
130,255.6457,33.5499,0.086,15.02,1.61,0.2775152227138111,80
132,207.3671,28.0318,0.076,14.59,1.16,0.22363812325767082,43
135,207.9144,9.4982,0.065,14.51,1.09,0.24258390087990064,43
136,222.1278,11.2865,0.052,14.37,0.99,0.2712683655789008,49
137,150.6702,32.7208,0.051,14.09,0.8,0.2232455555993196,46
140,155.4981,38.5215,0.054,14.54,1.13,0.2988472978496177,63
141,245.2292,29.8382,0.097,14.6,1.16,0.1795188631917264,35
142,248.0229,13.6468,0.053,14.18,0.85,0.22877621467425016,44
143,192.2485,-1.7069,0.087,14.97,1.55,0.2644123352204131,65
144,134.9522,39.3855,0.095,14.26,0.89,0.1403196695572396,34
147,228.0394,1.8068,0.039,14.09,0.8,0.28770451800177355,21
148,257.4347,34.4547,0.085,15.03,1.63,0.28393263652567047,76
149,196.4868,9.4838,0.055,14.04,0.77,0.2001640566885136,27
151,248.8257,26.6174,0.07,13.81,0.64,0.1330461962388077,21
153,239.6032,18.0424,0.046,14.38,1.0,0.30755197476078744,52
154,161.7944,38.964,0.036,14.25,0.91,0.3533733916836012,33
156,156.2606,17.135,0.045,13.8,0.64,0.2009609162199389,22
157,232.311,52.8639,0.073,14.27,0.91,0.1820298056144973,34
158,163.5235,54.8282,0.072,14.39,1.0,0.20257850412275738,42
159,223.5304,54.2627,0.099,14.17,0.83,0.1261333279878915,29
160,230.8448,31.0494,0.074,14.44,1.03,0.20348138651094974,33
164,170.6277,34.0755,0.043,13.87,0.68,0.22289630458483478,36
166,138.221,47.728,0.051,14.14,0.83,0.23161725447191395,32
168,205.9135,55.6228,0.068,13.93,0.7,0.14944847880121018,34
170,232.3015,7.5732,0.043,14.03,0.76,0.24911940169366742,29
171,173.7788,21.1512,0.064,13.85,0.66,0.14900034001468876,22
172,10.7605,15.2429,0.079,14.34,0.96,0.17864864507502584,32
173,27.301,14.0424,0.07,13.88,0.68,0.1413615890107967,22
174,134.5701,38.528,0.093,14.23,0.88,0.14140704900063264,32
175,151.0412,54.6353,0.047,14.39,1.0,0.3013737027511276,43
176,227.7767,5.2948,0.08,14.76,1.32,0.24283957963591427,37
179,248.3581,11.834,0.052,14.23,0.89,0.24386752010167886,37
180,260.6725,30.8284,0.046,14.26,0.91,0.27987230224661735,39
181,227.4433,8.8004,0.08,14.47,1.06,0.19500752373716598,29
182,233.3925,31.0837,0.067,14.25,0.89,0.1926208828269675,30
183,30.565,-1.0403,0.042,14.04,0.77,0.25807949291900195,28
184,117.3782,52.097,0.069,14.37,0.98,0.20643824243880712,41
186,203.1493,32.5997,0.036,14.05,0.78,0.3028914597753737,40
187,188.8342,1.831,0.08,14.23,0.88,0.16189304269375815,23
188,59.362,-5.3835,0.066,13.87,0.67,0.1470284087887599,20
189,182.5888,5.3469,0.077,14.61,1.18,0.22479151780575277,47
190,254.1129,39.2791,0.062,14.07,0.78,0.18132714065239602,31
192,218.3383,52.8728,0.045,14.05,0.78,0.24492111248395182,36
193,156.7968,11.016,0.032,13.37,0.46,0.20005326831907674,27
194,239.1577,25.8093,0.072,14.31,0.94,0.19042379044083343,22
196,206.1913,29.7351,0.062,14.09,0.8,0.18597656260011308,30
198,136.9208,52.0922,0.061,14.12,0.81,0.19115111100299295,36
199,122.6209,42.2998,0.064,14.17,0.85,0.19189437236222415,31
201,129.816,28.7763,0.08,14.43,1.03,0.18948844876169033,30
203,186.8957,8.8389,0.089,14.87,1.44,0.24068719326541876,68
204,229.9829,25.7578,0.033,14.06,0.78,0.32931735475006535,36
205,225.5257,21.2966,0.062,14.33,0.96,0.22317187906149288,31
206,135.5553,20.6192,0.082,14.29,0.92,0.16552508165841032,29
207,240.8769,14.7888,0.036,14.25,0.9,0.34949016108781483,49
208,168.1048,57.0575,0.047,14.09,0.8,0.2410989622009021,33
209,209.9132,28.539,0.063,14.17,0.85,0.19470276014676674,29
210,234.9841,17.8575,0.09,14.65,1.21,0.20022803653576784,41
212,162.9201,55.339,0.074,13.91,0.69,0.13631277462605823,29
213,180.7591,54.7744,0.05,14.06,0.78,0.22175797116477036,31
216,243.2548,30.9166,0.05,14.51,1.1,0.3127356139559205,43
221,183.2659,59.2576,0.096,13.85,0.65,0.10152691972618019,21
222,242.8492,36.995,0.067,14.1,0.8,0.17314236988434392,23
223,206.6898,45.715,0.065,13.97,0.72,0.16023890458006337,28
224,133.5641,29.0514,0.084,14.58,1.15,0.2024647492121865,33
228,227.8607,-0.1083,0.091,14.22,0.87,0.14254725931543047,25
230,128.9867,38.5113,0.057,14.07,0.79,0.19860373932148312,31
231,191.7995,55.0208,0.083,14.42,1.02,0.1815239889883561,25
232,230.2374,48.6807,0.074,14.53,1.11,0.2192857766142278,34
233,167.9791,39.6287,0.076,14.17,0.84,0.16194485407536557,22
234,41.6991,-0.5708,0.043,13.49,0.5,0.16389433956333507,21
235,233.8795,25.225,0.034,13.53,0.52,0.21332890325980564,23
236,205.5982,29.826,0.044,14.26,0.91,0.29187375164817714,35
238,120.9997,10.0498,0.034,13.64,0.57,0.23384129813841334,24
239,119.145,45.7419,0.052,14.2,0.87,0.23838736494302518,29
240,191.2993,1.7884,0.048,13.85,0.66,0.1949969056229578,25
241,354.4769,15.8294,0.067,14.2,0.87,0.1882923345879543,29
242,136.9767,49.6365,0.035,13.94,0.71,0.28327122676560124,31
243,162.4875,0.3461,0.039,13.94,0.71,0.25533775058069375,26
245,130.6866,36.0876,0.054,14.18,0.85,0.22479664672095065,30
246,132.1697,9.054,0.064,14.13,0.82,0.1851216374633633,27
247,198.4603,38.9207,0.07,14.36,0.98,0.2037270039611585,31
250,189.7137,17.1924,0.071,13.92,0.7,0.14363636816150924,20
253,173.0947,56.2955,0.05,14.15,0.84,0.2388162822007163,32
254,212.1701,55.5179,0.074,14.27,0.91,0.17977482647641824,25
255,233.2867,27.9916,0.073,14.46,1.05,0.21003437022351373,32
256,236.8236,27.9889,0.076,14.21,0.87,0.16772860878639081,23
258,247.6049,24.5827,0.064,14.2,0.86,0.19415195704109445,32
259,155.8174,12.9092,0.032,13.81,0.65,0.28268393725076996,25
260,173.9414,13.6814,0.08,14.48,1.06,0.19500752373716598,31
263,207.0932,25.678,0.052,14.1,0.8,0.21920676381777596,28
265,209.1915,23.131,0.063,14.36,0.98,0.2244808409963834,38
267,195.3458,-3.4901,0.085,14.21,0.86,0.14980495540219602,21
268,177.532,5.678,0.075,14.2,0.86,0.16782198369102197,21
269,192.9966,4.5747,0.065,13.87,0.67,0.14911120339717393,26
272,177.434,12.3262,0.083,14.15,0.83,0.14771069825303776,25
275,244.7847,24.2078,0.066,14.07,0.78,0.17116738517271052,24
276,233.8128,27.3153,0.032,14.1,0.81,0.35226770599516655,30
278,209.6037,32.6541,0.049,14.0,0.74,0.21442613801939303,35
279,219.3622,24.8378,0.088,14.2,0.86,0.14520849992187648,21
280,19.7378,-1.0177,0.045,14.1,0.81,0.25434117165224646,24
281,126.6305,17.4708,0.089,13.93,0.7,0.11700071343831557,21
282,212.7563,19.1441,0.056,13.94,0.71,0.18147570895033993,25
283,222.1024,18.336,0.04,14.16,0.84,0.294855740873954,37
287,190.5543,-2.115,0.083,14.21,0.87,0.1548292984804773,25
289,217.4548,53.9933,0.043,13.77,0.63,0.20650687062850123,24
290,197.158,43.5216,0.036,13.99,0.74,0.2873585703107259,30
292,161.1207,14.1048,0.033,13.98,0.73,0.3082073027798939,29
294,167.4929,21.8103,0.032,13.76,0.62,0.2696370001966797,24
295,131.8533,53.8186,0.045,14.12,0.82,0.2574811913750114,30
297,211.5987,6.2928,0.085,14.3,0.93,0.16199837290446334,23
298,156.2628,47.8127,0.063,14.27,0.92,0.21073711286716282,31
300,186.2859,61.4903,0.07,13.83,0.65,0.1351250378233287,23
301,172.4102,55.4223,0.068,14.07,0.78,0.1665282977105459,23
302,158.0672,40.284,0.078,14.25,0.89,0.16755937122574993,26
303,236.0939,34.6402,0.07,14.44,1.04,0.2162000710908879,22
304,185.5021,13.7596,0.081,14.42,1.02,0.18555792845759947,24
305,217.4873,7.2445,0.054,14.19,0.86,0.22744131763678485,22
306,230.1077,33.4153,0.082,14.2,0.86,0.15472996498470784,23
308,235.7148,8.2405,0.041,13.99,0.74,0.2537480492874497,25
309,230.748,28.596,0.084,14.35,0.96,0.16901405450115556,22
310,160.312,33.8973,0.083,14.11,0.8,0.14237176316871297,24
311,242.9673,20.9786,0.086,14.35,0.97,0.16719862533005098,24
313,137.1075,16.031,0.072,14.3,0.93,0.18839800196504736,31
314,168.4237,2.499,0.074,14.05,0.77,0.15211714798241258,30
316,157.119,3.7424,0.073,14.28,0.92,0.18403013650285172,26
319,246.9982,42.6871,0.032,13.86,0.67,0.29138193829808934,26
322,159.2213,50.1229,0.045,14.15,0.83,0.2606211844795444,32
327,225.8592,7.998,0.089,14.62,1.19,0.19890122418030604,32
328,253.59,23.5416,0.057,14.14,0.82,0.206145666421509,31
330,216.1921,29.5507,0.054,13.98,0.73,0.1930606629882855,25
331,118.5921,14.6519,0.05,13.91,0.69,0.1961705166612726,28
333,187.769,28.8527,0.062,14.06,0.78,0.18132714065239602,26
336,217.1839,17.4129,0.052,14.07,0.78,0.21372658543113776,26
338,155.6189,15.7453,0.045,13.87,0.67,0.2103809753882336,23
340,213.6193,1.7645,0.054,13.99,0.74,0.19570531148500458,25
341,157.5611,4.0191,0.067,13.76,0.62,0.13418533482568398,22
342,122.1481,38.9195,0.041,13.75,0.62,0.21259971893463547,27
349,175.791,26.4327,0.031,13.78,0.63,0.2824979052477727,21
351,193.6675,18.985,0.064,14.02,0.75,0.16931856384902133,25
354,244.7571,50.4838,0.056,14.35,0.97,0.24793161991635418,24
355,189.0735,16.547,0.069,14.56,1.14,0.24014242925098694,34
358,205.5057,2.1496,0.077,14.72,1.29,0.24574666312808435,53
368,131.6204,29.6226,0.071,14.24,0.89,0.1826233788978601,20
371,181.3786,43.1855,0.053,14.12,0.82,0.2207017691650884,24
373,226.1811,35.9573,0.048,14.06,0.78,0.23045087252539023,25
374,245.7299,23.8919,0.063,14.1,0.8,0.18324965660872164,31
375,145.1331,66.6577,0.07,14.33,0.96,0.19956930316951316,20
377,203.9595,35.9609,0.059,14.22,0.88,0.21420566931210588,27
381,249.2461,44.3289,0.031,13.8,0.64,0.28698198751788767,21
388,122.7397,35.9724,0.082,14.48,1.06,0.19071366181057384,31
389,224.5938,47.4751,0.086,14.45,1.04,0.1792644963195428,26
390,231.4995,48.4927,0.037,13.51,0.51,0.19290446635269318,21
394,199.144,7.0911,0.049,14.11,0.81,0.23470970190601584,25
396,232.9112,7.3305,0.034,13.73,0.61,0.2502512244744431,20
397,201.2498,8.3651,0.052,13.82,0.65,0.1781054839879507,21
408,189.8714,16.5063,0.07,14.32,0.95,0.19749045277369048,24
409,192.5124,-1.5625,0.082,14.84,1.4,0.25188598454425937,50
412,116.4103,33.9561,0.062,14.29,0.93,0.2161977461399172,29
413,255.6881,33.4648,0.092,15.71,2.73,0.4429474627670494,174
414,117.4209,29.4346,0.063,14.24,0.89,0.20386523909363635,25
416,174.8016,55.6594,0.062,14.29,0.92,0.21387305487284436,26
418,181.9639,14.9781,0.079,14.5,1.09,0.20284065813350174,34
420,242.9955,29.8385,0.05,14.71,1.29,0.36675357881904735,45
423,195.2958,39.831,0.036,13.99,0.74,0.2873585703107259,24
424,164.3707,37.6233,0.035,13.68,0.58,0.23140465887844192,21
427,186.3138,32.15,0.059,14.35,0.97,0.23611308466175024,38
432,168.2233,2.5009,0.078,15.11,1.73,0.3257052944505054,66
434,243.3893,49.082,0.056,14.33,0.95,0.24281961926485238,47
435,197.2963,-1.6222,0.083,14.54,1.11,0.19754082441384022,23
436,126.5674,40.9862,0.057,14.02,0.75,0.1885478578326485,21
439,229.745,4.3358,0.047,14.06,0.78,0.23507147792677344,24
440,215.4074,49.507,0.072,14.51,1.1,0.22283635453503314,24
441,229.9992,32.8171,0.08,14.1,0.8,0.14717549902897178,23
445,171.6007,35.3344,0.034,13.82,0.65,0.2666611160333276,20
447,250.3106,13.3536,0.051,13.96,0.72,0.20092100950176775,25
452,331.7979,-7.531,0.061,14.17,0.85,0.20059066784158977,28
458,145.9013,39.3971,0.041,14.01,0.75,0.25717708287273183,26
460,131.225,27.719,0.084,14.12,0.81,0.14260560895173996,20
467,237.3127,25.6057,0.071,14.12,0.81,0.16620780092294804,22
471,229.4987,26.878,0.085,14.67,1.23,0.21425592922283151,31
480,167.764,1.1049,0.097,13.92,0.69,0.1067827756899665,21
496,227.3806,7.5358,0.077,14.59,1.16,0.22098148551114896,32
501,202.3909,37.4487,0.057,13.82,0.65,0.1634081327993621,20
503,197.6967,34.4158,0.037,14.32,0.95,0.3593318670065499,27
509,139.8781,55.5739,0.048,14.0,0.74,0.21863288355791277,23
511,237.7877,53.4282,0.065,13.71,0.59,0.1313068701848678,22
513,250.3571,40.1635,0.032,14.46,1.07,0.465341295642192,32
526,237.2284,8.8457,0.072,14.67,1.24,0.25119734167766067,30
529,243.8981,19.4815,0.031,13.7,0.6,0.26904563943136117,20
530,207.1275,32.2499,0.083,14.24,0.89,0.1583885835079422,21
532,179.4821,33.7051,0.08,14.3,0.93,0.17109151138306888,21
540,227.1193,-0.258,0.09,14.65,1.21,0.20022803653576784,37
542,243.6301,49.1877,0.059,14.3,0.93,0.22637644644653443,46
554,132.532,32.7757,0.066,13.9,0.69,0.15141730513010773,20
557,167.3308,41.5666,0.077,14.25,0.9,0.1714511625752674,25
559,218.2858,9.6789,0.086,14.23,0.88,0.15168533966762204,20
562,340.833,0.4133,0.058,13.97,0.73,0.18055690286458756,20
564,194.921,38.8014,0.034,13.35,0.45,0.18461155390746936,22
567,226.2659,26.0287,0.054,14.04,0.77,0.2036393018133921,26
574,166.8872,15.8625,0.093,14.6,1.17,0.18800709831071527,29
577,140.9969,13.1923,0.08,14.4,1.0,0.18396937378621472,22
586,349.7253,-10.2361,0.032,13.78,0.63,0.273985991503641,21
595,188.715,50.7791,0.04,13.85,0.66,0.2316723784567595,22
599,215.9747,40.2588,0.082,14.35,0.96,0.17272182102358352,21
608,4.1949,-0.4609,0.065,14.26,0.91,0.2025241653018156,21
616,172.1451,26.8291,0.053,14.15,0.84,0.22608472523252957,28
621,215.2345,17.666,0.051,14.21,0.87,0.24277955117664016,35
624,129.0212,52.7156,0.044,14.16,0.85,0.2726293233832261,20
625,242.3892,53.0522,0.063,14.3,0.93,0.21302771804050596,22
628,325.7397,-6.8996,0.054,14.34,0.96,0.2538879819568967,40
630,167.5969,4.8471,0.03,13.7,0.6,0.27768934029774883,21
631,119.635,37.7935,0.041,13.89,0.69,0.2366029104292676,28
635,203.2348,60.119,0.072,14.54,1.12,0.22688793148660533,30
664,208.4432,33.1695,0.05,14.26,0.91,0.2587176490927936,29
665,205.9073,30.0654,0.04,15.0,1.61,0.5651401576099836,83
