Yang,RA,DEC,redshift,N200,logM200c,logM200m,R200c,R200m
28,190.3042,18.5539,0.07199999690055847,87,14.88490104675293,15.048952306931612,1.8571428060531616,2.436997552891579
29,159.7771,5.1123,0.0689999982714653,74,14.744902610778809,14.909373226584185,1.6571428775787354,2.195562540965168
30,329.3637,-7.7877,0.057999998331069946,86,14.604901313781738,14.770901753584315,1.5,1.9947142599356333
31,234.9381,21.7405,0.04100000113248825,109,14.734901428222656,14.905824300237574,1.6714285612106323,2.248484052423673
32,358.5345,-10.3766,0.07599999755620956,78,14.9649019241333,15.12782223833721,1.971428632736206,2.5794527917841785
34,207.2288,26.6148,0.06300000101327896,95,14.974902153015137,15.14085723583788,2.0,2.6372517461676024
35,164.634,1.6037,0.03999999910593033,50,14.204901695251465,14.369257366609146,1.1142857074737549,1.490910447840687
36,202.7342,-1.8838,0.0860000029206276,77,14.974902153015137,15.135442210466751,1.971428632736206,2.570691837735513
37,241.5638,15.6789,0.03999999910593033,221,15.324901580810547,15.492288572579799,2.614285707473755,3.5301673465638586
38,173.6865,49.0815,0.032999999821186066,98,14.494901657104492,14.665346094758714,1.3857142925262451,1.8839996525094755
39,229.8875,20.8222,0.03999999910593033,55,14.37490177154541,14.542072642479749,1.2714285850524902,1.702380555338528
40,223.6396,18.6078,0.057999998331069946,81,14.68490219116211,14.85154852268617,1.585714340209961,2.1220858463272307
41,117.0449,18.552,0.04699999839067459,59,14.554902076721191,14.72288491326107,1.4428571462631226,1.9427372390258657
42,244.4189,35.0411,0.03099999949336052,107,14.754902839660645,14.928319361110553,1.7000001668930054,2.3098311303527215
44,229.6038,4.5283,0.03700000047683716,61,14.53490161895752,14.704933020029383,1.4285714626312256,1.934630476388471
45,184.4023,3.639,0.07699999958276749,100,15.194901466369629,15.35542642629907,2.3428571224212646,3.0689669666143655
46,127.1567,30.4313,0.05000000074505806,83,14.844901084899902,15.014114332777464,1.8000000715255737,2.4224115010807123
47,241.306,16.4602,0.04399999976158142,232,15.304902076721191,15.471677995199613,2.5714285373687744,3.461449033114817
48,14.0058,-10.0165,0.054999999701976776,72,14.654901504516602,14.82201354007962,1.557142972946167,2.080420679620804
49,176.8442,55.7178,0.050999999046325684,83,14.814902305603027,14.98381192804327,1.7714285850524902,2.3644694217807722
50,214.3435,2.0353,0.05400000140070915,69,14.654901504516602,14.822242474756491,1.557142972946167,2.0827604476496475
51,214.4332,8.196,0.05700000002980232,69,14.584901809692383,14.750937262846033,1.4857141971588135,1.9662400677338716
52,176.3217,33.3532,0.03200000151991844,67,14.254902839660645,14.421866499064917,1.1571428775787354,1.5643775563607631
53,208.2782,5.1703,0.07900000363588333,70,14.834901809692383,14.997330183049108,1.7714285850524902,2.3271322052312864
54,203.9791,59.2357,0.07100000232458115,108,15.014901161193848,15.178743744266924,2.0428571701049805,2.694785599333784
57,180.0944,56.2254,0.06400000303983688,69,14.774901390075684,14.940644886502048,1.7142858505249023,2.259465812575569
58,226.1477,28.4716,0.057999998331069946,62,14.604901313781738,14.770901753584315,1.5,1.9947142599356333
61,173.2294,14.4326,0.08100000023841858,61,14.984902381896973,15.146556691986325,2.0,2.6047076056341507
62,195.6601,-2.5423,0.08299999684095383,57,14.774901390075684,14.936303014383341,1.6857142448425293,2.2124407942866227
64,146.571,43.1473,0.0729999989271164,24,14.27490234375,14.43344562654131,1.1571428775787354,1.5180331732087464
65,230.4156,7.7193,0.04500000178813934,74,14.72490119934082,14.894822739406461,1.6428571939468384,2.2210434950554094
66,197.7928,39.2503,0.07199999690055847,55,14.944901466369629,15.108835163565551,1.9428571462631226,2.551620280485069
68,205.4739,26.3809,0.07500000298023224,39,14.614901542663574,14.777183797649169,1.5,1.972658502178892
69,146.7111,54.4917,0.04699999839067459,66,14.604901313781738,14.773403369689944,1.514285683631897,2.0195450732893425
70,167.1201,44.0939,0.05900000035762787,66,14.53490161895752,14.699967461230187,1.4285714626312256,1.8872334912769566
71,200.0644,33.1644,0.035999998450279236,57,14.564901351928711,14.735509813820096,1.4571428298950195,1.9824821760845799
73,245.6562,37.9252,0.03099999949336052,75,14.68490219116211,14.85783770506274,1.6142857074737549,2.1881966299027935
74,208.0007,46.3667,0.06300000101327896,53,14.544901847839355,14.709186015073355,1.4285714626312256,1.8934820030011483
77,177.0543,54.6677,0.05999999865889549,54,14.414901733398438,14.578262691942752,1.2857142686843872,1.7173051572062932
79,170.4099,2.8163,0.04899999871850014,49,14.454901695251465,14.621218757175239,1.3428571224212646,1.7934800066310306
80,228.803,4.3649,0.09700000286102295,43,14.834901809692383,14.993248925516491,1.7714285850524902,2.281788855591585
82,168.8992,54.5174,0.07000000029802322,57,14.72490119934082,14.889048359937824,1.6285713911056519,2.1595575583411826
83,227.9499,4.502,0.035999998450279236,54,14.554902076721191,14.725396051029024,1.4571428298950195,1.9671525362240894
